접수번호,접수날짜,제조일자,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품_x,수리비용,수리비용청구여부,제조년,접수년,수리부품_y,부품공급업체,Q.C담당
SL21560,2022-05-07,2022-05-01,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, B패널 , 이수현 
SL21561,2022-07-17,2022-07-05,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022,케이스, A케이스 , 이수현 
SL21562,2022-08-12,2021-12-06,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022,액정 Ass'y, C코닝 , 김민지 
SL21563,2021-08-21,2021-01-06,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2021,액정 Ass'y, C코닝 , 김민지 
SL21564,2022-08-29,2021-11-21,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2021,2022,액정 Ass'y, C코닝 , 김민지 
SL21565,2023-04-12,2023-04-08,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023,액정 Ass'y, A액정 , 김민지 
SL21566,2023-04-07,2022-04-16,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2022,2023,Fuse, A상사 , 이수현 
SL21567,2021-10-11,2021-01-15,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구,2021,2021,컨넥터 Ass'y, A케이블 , 이수현 
SL21568,2022-01-06,2021-04-13,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구,2021,2022,컨넥터 Ass'y, A케이블 , 김민지 
SL21569,2022-03-24,2022-02-23,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, B패널 , 김민지 
SL21570,2022-11-05,2022-01-06,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022,케이스, B사출 , 이수현 
