구분,업체명,소재지,객실수,등록일
관광펜션업,나무와 숲 석모도점,강화군 삼산면 어류정길 212번길 17,12,2017-12-06
관광펜션업,하미양 관광펜션,강화군 화도면 해안남로 1414-1,7,2017-12-06
관광펜션업,수랜드,강화군 화도면 해안남로1502번길 11,16,2017-12-06
관광펜션업,한가라지,강화군 삼산면 삼산남로 1011,18,2017-12-06
관광펜션업,관광펜션무무,강화군 화도면 해안남로 1066번길-12,5,2017-12-06
관광펜션업,라파엘,강화군 화도면 해안남로1641,7,2017-12-06
관광펜션업,하와이비치,옹진군 영흥면  영흥서로446번길 36,17,2017-12-06
관광펜션업,랜드하우스,강화군 화도면 해안남로 1669-12,6,2017-12-06
관광펜션업,썬댄스펜션,강화군 화도면 해안남로 1691번길 43-30,11,2017-12-06
관광펜션업,퀸스비치,옹진군 영흥면 선재로306번길 27-116,21,2017-12-06
관광펜션업,오후엔,옹진군 북도면 장봉로26번길 76-28,8,2017-12-06
관광펜션업,바다요정,강화군 화도면 해안남로 1596,9,2018-01-05
관광펜션업,네이쳐펜션,옹진군 영흥면 영흥북로 426번길 105-1,12,2018-09-03
관광펜션업,블루오션,중구 영종진광장로 52 (중산동 1946-18),23,2018-10-05
관광펜션업,영흥도 관광펜션,영흥면 영흥로 156번길  33-17,16,2019-01-16
관광펜션업,소고펜션,강화군 화도면 해안남로 2850-1,4,2019-01-21
관광펜션업,씨사이드에비뉴,중구 영종진광장로 64,18,2019-12-06
관광펜션업,노을내리는 아름다운집,강화군 삼산면 어류정길 212번길 17,12,2020-01-23
관광펜션업,블루힐펜션,옹진군 북도면 장봉로541번길 142,4,2020-01-29
관광펜션업,동그라미펜션,강화군 화도면 해안남로 2421-177,5,2021-04-05
관광펜션업,에떼르모,강화군 화도면 해안남로 2421-202,5,2021-04-05
관광펜션업,나눔펜션,강화군 화도면 해안남로 2297-21,7,2021-04-12
관광펜션업,해밀펜션,강화군 길상면 해안남로619번길 14,6,2021-04-12
관광펜션업,바다로가는길목펜션,옹진군 자월면 승봉로 109,11,2021-05-12
관광펜션업,블랙트리하우스,옹진군 영흥면 내리 1527-62,4,2021-12-03
관광펜션업,유플레이스,강화군 화도면 동막리 55-7,,2022-07-28
한옥체험업,오가물,중구 용유로380번길 21(남북동 868),4,2017-12-06
한옥체험업,자미궁,서구 원당대로819번길 38 (원당동),3,2017-12-06
한옥체험업,남취당의한옥이야기,강화군 화도면 해안남로 1066(사기리 84번지),5,2017-12-06
한옥체험업,전통한옥펜션보경,옹진군 영흥면 영흥서로 30,6,2017-12-06
한옥체험업,장보고 한옥펜션,강화군 송해면 강화대로 833번길 44-30,4,2017-12-06
한옥체험업,옛날에금잔디,강화군 내가면 강화서로  225번길 18-1,3,2017-12-06
한옥체험업,남문한옥 대명헌,강화군 강화읍 남문안길 7,3,2017-12-06
한옥체험업,교동마님댁,강화군 교동면 교동북로467번길 13,3,2017-12-06
한옥체험업,영섭재,강화군 송해면 강화대로 674번길 23-4,4,2018-08-02
한옥체험업,지구하우징,중구 용유로 380번길 27(중산동 1946-18),2,2018-12-10
한옥체험업,시우재,연수구 동곡재로 74-33(동춘동),4,2020-06-24
한옥체험업,담담각,강화군 하점면 고려산로285번길 14-29,6,2021-04-19
외국인관광도시민박업,어울림,중구 용유서로348번길 11-8(을왕동 783-3번지),1,2017-12-06
외국인관광도시민박업,연이람이,"서구 완정로92번길 41, 검단힐스테이트2차 201동 702호",2,2017-12-06
외국인관광도시민박업,준랜드,"연수구 해송로70, 220동601호(송도동, 송도웰카운티2단지 아파트)",2,2017-12-06
외국인관광도시민박업,올인원게스트하우스,"서구 청라 한울로 59번길 26, 101호(경서동)",2,2017-12-06
외국인관광도시민박업,포레스트하우스,중구 눈돌로 60-8(운서동),2,2017-12-06
외국인관광도시민박업,코지코리아,"서구 승학로506번안길 19-11, 105동 401호 (검암동, 파인힐타운)",3,2017-12-06
외국인관광도시민박업,Better Guest House,"서구 검단로769번길 11, 902호 (불로동, 백두퀸스빌)",4,2017-12-06
외국인관광도시민박업,[LUCERE] Binny&apos;s Guesthouse,"서구 승학로434번길 10, 102동 406호 (검암동, 굿모닝타운하우스)",3,2017-12-06
외국인관광도시민박업,[LUCERE] Binny's Guesthouse,"서구 승학로495번길 7, 102동 1701호 (검암동, 서해그랑블)",3,2017-12-06
외국인관광도시민박업,Dream Factory,"서구 검암로30번길 40, 5층 501호 (검암동, 하이트캐슬)",2,2017-12-06
외국인관광도시민박업,cozy &amp sweet house,"서구 완정로34번길 9, 117동 1902호(마전동,동아아파트)",2,2017-12-06
외국인관광도시민박업,코리아미에,중구 운중로 11-20 (운남동 448-1),4,2017-12-06
외국인관광도시민박업,상우재(SANGWOOJAE),중구 신포로47번길 10 (송학동3가 4-3),2,2017-12-06
외국인관광도시민박업,에어포트 KIM’S 게스트하우스,중구 남북로128번길 33,2,2017-12-06
외국인관광도시민박업,팬션게스트하우스-개나리,영종순환로 169번길 125-6(중산동 1129-22),2,2017-12-06
외국인관광도시민박업,하늘게스트하우스,중구 용유서로172번길 25,4,2017-12-06
외국인관광도시민박업,리푸 게스트하우스,중구 대무의로 224,6,2017-12-06
외국인관광도시민박업,비앤비 아다지오,중구 신도시북로88번길 49-8 (운서동 2718-2),5,2017-12-06
외국인관광도시민박업,운서,"중구 영종대로327번길 12, 202동 201호(운서동, 영종어울림2차)",3,2017-12-06
외국인관광도시민박업,파밀리아(Familiar),"중구 흰바위로 15, 801동 704호 (운서동, 풍림아이원8-2단지아파트)",3,2017-12-06
외국인관광도시민박업,굿타임 게스트하우스(Good Time Guest House),"중구 하늘별빛로 86, 923동 402호 (중산동, 한라비발디)",3,2017-12-06
외국인관광도시민박업,공항 게스트하우스 해피플레이스,중구 신도시북로 140번길 63(운서동 2737-6),6,2017-12-06
외국인관광도시민박업,게스트하우스 에쿠,서구 청라커낼로 367 (경서동),2,2017-12-06
외국인관광도시민박업,스카이민박,"서구 청라라임로 109, 257동 3001호",5,2017-12-06
외국인관광도시민박업,코인 게스트하우스,"중구 화랑목로100번길 31, 201호     (운서동)",2,2017-12-06
외국인관광도시민박업,홈스테이코리아 에어비앤비 앤 홈어웨이,"중구 하늘별빛로 66, 902-304(중산동, 영종힐스테이트)",2,2017-12-06
외국인관광도시민박업,픽스 하우스,부평구 주부토로22번길 1 (부평동),4,2017-12-06
외국인관광도시민박업,RAINBOOTS GUESTHOUSE,"중구 화랑목로40-16, 201호(운서동)",7,2017-12-18
외국인관광도시민박업,나인게스트 하우스,중구 영종순환로169번길 119(중산동 1129-14),2,2018-05-15
외국인관광도시민박업,준 게스트하우스,"중구 하늘초롱길 58, 1층(운서동)",2,2018-06-04
외국인관광도시민박업,마전역 게스트하우스,"서구 완정로 65번안길 10, 110동201호(마전동, 검단1차 대주피오레아파트)",2,2018-07-25
외국인관광도시민박업,미스터김 게스트하우스,"중구 모랫말로 6-9 , 2층(운서동)",5,2018-08-06
외국인관광도시민박업,게스트하우스 휴,"중구 모랫말로 16번길 13-33, 3층",5,2018-09-04
외국인관광도시민박업,그린게스트 하우스,"서구 청라루비로 42번길 6-4, 3층(청라동)",2,2018-09-27
외국인관광도시민박업,애플하우스,중구 자유공원로 129-5(송월동 3가 10-2),4,2019-01-16
외국인관광도시민박업,드림트립,"중구 화랑목로 40-140, 201호(운서동)",7,2019-01-31
외국인관광도시민박업,그루1763,서구 청라한울로59번길 16,1,2019-02-11
외국인관광도시민박업,블루밍하우스,"중구 미단행복로 69, 203호(운북동)",1,2019-02-20
외국인관광도시민박업,엠하우스,"중구 운서로7번길 15, 302호",2,2019-03-12
외국인관광도시민박업,미단행복4동,"중구 미단행복로 83, 302호",1,2019-03-22
외국인관광도시민박업,코코게스트하우스,"중구 모랫말로16번길 13-52, 202호",3,2019-03-22
외국인관광도시민박업,위홈게스트하우스,"중구 흰바위로92번길 5-14, 2층",5,2019-04-23
